100-51-6|Benzyl alcohol |bird - wild|LD50|oral|100mg/kg (100mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 21, Pg. 315, 1972.
102-71-6|Trolamine |mouse|LD50|oral|5846mg/kg (5846mg/kg)|GASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"KIDNEY, URETER, AND BLADDER: OTHER CHANGES BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|Science Reports of the Research Institutes, Tohoku University, Series C: Medicine. Vol. 36(1-4), Pg. 10, 1989.
102-71-6|Trolamine |rabbit|LD50|oral|2200mg/kg (2200mg/kg)| |"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure," Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982Vol. -, Pg. 114, 1982.
102-71-6|Trolamine |rabbit|LD50|skin|> 20mL/kg (20mL/kg)| |Union Carbide Data Sheet.  Vol. 3/18/1965, 
102-71-6|Trolamine |rat|LD50|intraperitoneal|1510mg/kg (1510mg/kg)| |National Technical Information Service.  Vol. OTS0516797, 
102-71-6|Trolamine |rat|LD50|oral|4920uL/kg (4.92mL/kg)|SKIN AND APPENDAGES (SKIN): HAIR: OTHERSENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYEGASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"|National Technical Information Service.  Vol. OTS0516797, 
102-71-6|Trolamine |rat|LD50|skin|> 16mL/kg (16mL/kg)| |National Technical Information Service.  Vol. OTS0516797, 
106-46-7|1|cat|LCLo|inhalation|37gm/m3/30M (37000mg/m3)|BEHAVIORAL: GENERAL ANESTHETIC|Yakkyoku.  Pharmacy.  Vol. 38, Pg. 1045, 1987.
106-46-7|1|guinea pig|LDLo|oral|2800mg/kg (2800mg/kg)| |AMA Archives of Industrial Health.  Vol. 14, Pg. 138, 1956.
106-46-7|1|human|LDLo|oral|857mg/kg (857mg/kg)| |"Toxicology of Drugs and Chemicals," Deichmann, W.B., New York, Academic Press, Inc., 1969Vol. -, Pg. 210, 1969.
106-46-7|1|human|LDLo|unreported|357mg/kg (357mg/kg)| |Yakkyoku.  Pharmacy.  Vol. 31, Pg. 1499, 1980.
106-46-7|1|human|TDLo|oral|300mg/kg (300mg/kg)|SENSE ORGANS AND SPECIAL SENSES: OTHER: EYELUNGS, THORAX, OR RESPIRATION: OTHER CHANGESGASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"|Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966.  Vol. -, Pg. 851, 1966.
106-46-7|1|mammal (species unspecified)|LC50|inhalation|12gm/m3 (12000mg/m3)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 32(10), Pg. 25, 1988.
106-46-7|1|mammal (species unspecified)|LD50|oral|2600mg/kg (2600mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 32(10), Pg. 25, 1988.
106-46-7|1|man|LDLo|unreported|221mg/kg (221mg/kg)| |"Poisoning; Toxicology, Symptoms, Treatments," 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970Vol. 2, Pg. 73, 1970.
106-46-7|1|mouse|LD50|intraperitoneal|2gm/kg (2000mg/kg)| |Mutagenesis. Vol. 2, Pg. 111, 1987.
106-46-7|1|mouse|LD50|oral|2950mg/kg (2950mg/kg)| |Guide to the Chemicals Used in Crop Protection.  Vol. 6, Pg. 183, 1973.
106-46-7|1|mouse|LD50|subcutaneous|5145mg/kg (5145mg/kg)|BEHAVIORAL: TREMOR|Toho Igakkai Zasshi.  Journal of Medical Society of Toho University.  Vol. 20, Pg. 772, 1973.
106-46-7|1|rabbit|LD50|oral|2830mg/kg (2830mg/kg)| |Yakkyoku.  Pharmacy.  Vol. 29, Pg. 453, 1978.
106-46-7|1|rabbit|LD50|skin|> 2gm/kg (2000mg/kg)| |Special Publication of the Entomological Society of America.  Vol. 78-1, Pg. 18, 1978.
106-46-7|1|rat|LD50|intraperitoneal|2562mg/kg (2562mg/kg)| |Journal of the American Pharmaceutical Association, Scientific Edition.  Vol. 38, Pg. 124, 1949.
106-46-7|1|rat|LD50|oral|500mg/kg (500mg/kg)| |World Review of Pest Control.  Vol. 9, Pg. 119, 1970.
106-46-7|1|rat|LD50|skin|> 6gm/kg (6000mg/kg)| |Fundamental and Applied Toxicology.  Vol. 7, Pg. 299, 1986.
107-98-2|1-Methoxy-2-hydroxypropane|dog|LD50|intravenous|2gm/kg (2000mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: ATAXIABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|dog|LD50|oral|5gm/kg (5000mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|guinea pig|LCLo|inhalation|15000ppm/7H (15000ppm)|BEHAVIORAL: SLEEP|AMA Archives of Industrial Hygiene and Occupational Medicine.  Vol. 9, Pg. 509, 1954.
107-98-2|1-Methoxy-2-hydroxypropane|human|TCLo|inhalation|3000ppm (3000ppm)|GASTROINTESTINAL: NAUSEA OR VOMITINGSENSE ORGANS AND SPECIAL SENSES: TUMORS: OLFACTIONBEHAVIORAL: GENERAL ANESTHETIC|Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 105, 1974.
107-98-2|1-Methoxy-2-hydroxypropane|mouse|LD|intraperitoneal|> 500mg/kg (500mg/kg)| |"Summary Tables of Biological Tests," National Research Council Chemical-Biological Coordination Center.  Vol. 4, Pg. 110, 1952.
107-98-2|1-Methoxy-2-hydroxypropane|mouse|LD50|intravenous|5300mg/kg (5300mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: ATAXIABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|mouse|LD50|oral|11700mg/kg (11700mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: ATAXIA|Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|rabbit|LCLo|inhalation|15000ppm/7H (15000ppm)| |AMA Archives of Industrial Hygiene and Occupational Medicine.  Vol. 9, Pg. 509, 1954.
107-98-2|1-Methoxy-2-hydroxypropane|rabbit|LD50|intravenous|1200mg/kg (1200mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|rabbit|LD50|oral|5700mg/kg (5700mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|rabbit|LD50|skin|13gm/kg (13000mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 105, 1974.
107-98-2|1-Methoxy-2-hydroxypropane|rabbit|LD50|subcutaneous|5gm/kg (5000mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|rat|LC50|inhalation|10000ppm/5H (10000ppm)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 105, 1974.
107-98-2|1-Methoxy-2-hydroxypropane|rat|LD50|intraperitoneal|3720mg/kg (3720mg/kg)| |"Patty's Industrial Hygiene and Toxicology," 3rd rev. ed., Clayton, G.D., and F.E. Clayton, eds., New York, John Wiley & Sons, Inc., 1978-82.  Vol. 3 originally pub. in 1979; pub. as 2n rev. ed. in 1985.Vol. 2C, Pg. 3977, 1982.
107-98-2|1-Methoxy-2-hydroxypropane|rat|LD50|intravenous|4200mg/kg (4200mg/kg)|BEHAVIORAL: ATAXIABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDLUNGS, THORAX, OR RESPIRATION: DYSPNEA|Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|rat|LD50|subcutaneous|7800mg/kg (7800mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: ATAXIA|Arzneimittel-Forschung. Drug Research.  Vol. 22, Pg. 569, 1972.
107-98-2|1-Methoxy-2-hydroxypropane|rat|LDLo|oral|3739mg/kg (3739mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)SENSE ORGANS AND SPECIAL SENSES: CHROMODACYRORREA: EYEBEHAVIORAL: ATAXIA|National Technical Information Service.  Vol. OTS0520402, 
111-30-8|Glutaral |duck|LD50|oral|820mg/kg (820mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: FOOD INTAKE (ANIMAL)|National Technical Information Service.  Vol. OTS0526410-1, 
111-30-8|Glutaral |guinea pig|LD50|oral|50mg/kg (50mg/kg)|BEHAVIORAL: EXCITEMENTBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 52(3), Pg. 77, 1987.
111-30-8|Glutaral |mouse|LD50|intraperitoneal|13900ug/kg (13.9mg/kg)| |Iyakuhin Kenkyu.  Study of Medical Supplies.  Vol. 10, Pg. 232, 1979.
111-30-8|Glutaral |mouse|LD50|intravenous|15400ug/kg (15.4mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 19, Pg. 503, 1980.
111-30-8|Glutaral |mouse|LD50|oral|100mg/kg (100mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 19, Pg. 503, 1980.
111-30-8|Glutaral |mouse|LD50|skin|> 5840mg/kg (5840mg/kg)|SKIN AND APPENDAGES (SKIN): "DERMATITIS, OTHER: AFTER SYSTEMIC EXPOSURE"|Oyo Yakuri.  Pharmacometrics.  Vol. 12, Pg. 11, 1976.
111-30-8|Glutaral |mouse|LD50|subcutaneous|> 590mg/kg (590mg/kg)| |Drugs in Japan Vol. -, Pg. 395, 1995.
111-30-8|Glutaral |rabbit|LD50|skin|560uL/kg (0.56mL/kg)| |Union Carbide Data Sheet.  Vol. 11/4/1971, 
111-30-8|Glutaral |rat|LC50|inhalation|480mg/m3/4H (480mg/m3)| |United States Environmental Protection Agency, Office of Pesticides and Toxic Substances. Vol. 8EHQ-1290-1008, 
111-30-8|Glutaral |rat|LD50|intraperitoneal|17900ug/kg (17.9mg/kg)| |Iyakuhin Kenkyu.  Study of Medical Supplies.  Vol. 10, Pg. 232, 1979.
111-30-8|Glutaral |rat|LD50|intravenous|9800ug/kg (9.8mg/kg)| |United States Environmental Protection Agency, Office of Pesticides and Toxic Substances. Vol. 8EHQ-1290-1008, 
111-30-8|Glutaral |rat|LD50|oral|134mg/kg (134mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 19, Pg. 503, 1980.
111-30-8|Glutaral |rat|LD50|skin|> 2500mg/kg (2500mg/kg)|SKIN AND APPENDAGES (SKIN): "DERMATITIS, OTHER: AFTER SYSTEMIC EXPOSURE"|Oyo Yakuri.  Pharmacometrics.  Vol. 12, Pg. 11, 1976.
111-30-8|Glutaral |rat|LD50|subcutaneous|> 750mg/kg (750mg/kg)| |Drugs in Japan Vol. -, Pg. 395, 1995.
111-46-6|Diethylene glycol|cat|LD50|oral|3300mg/kg (3300mg/kg)| |Journal of Industrial Hygiene and Toxicology.  Vol. 21, Pg. 173, 1939.
111-46-6|Diethylene glycol|child|TDLo|oral|2400mg/kg (2400mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)LIVER: OTHER CHANGES|Journal of Pediatrics.  Vol. 109, Pg. 731, 1986.
111-46-6|Diethylene glycol|dog|LD50|oral|9gm/kg (9000mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 67, Pg. 101, 1939.
111-46-6|Diethylene glycol|guinea pig|LD50|oral|7800mg/kg (7800mg/kg)|LIVER: OTHER CHANGESBEHAVIORAL: GENERAL ANESTHETICBEHAVIORAL: MUSCLE WEAKNESS|Federation Proceedings, Federation of American Societies for Experimental Biology. Vol. 4, Pg. 142, 1945.
111-46-6|Diethylene glycol|guinea pig|LD50|unreported|14gm/kg (14000mg/kg)|GASTROINTESTINAL: NAUSEA OR VOMITINGBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: EXCITEMENT|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 33(3), Pg. 16, 1968.
111-46-6|Diethylene glycol|human|LDLo|oral|1gm/kg (1000mg/kg)| |Journal of Industrial Hygiene and Toxicology.  Vol. 21, Pg. 173, 1939.
111-46-6|Diethylene glycol|mouse|LCLo|inhalation|130mg/m3/2H (130mg/m3)|LUNGS, THORAX, OR RESPIRATION: CYANOSISBEHAVIORAL: EXCITEMENTBEHAVIORAL: GENERAL ANESTHETIC|Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 10(12), Pg. 30, 1966.
111-46-6|Diethylene glycol|mouse|LD50|intraperitoneal|9719mg/kg (9719mg/kg)|BLOOD: CHANGES IN SPLEENKIDNEY, URETER, AND BLADDER: CHANGES IN BOTH TUBULES AND GLOMERULILUNGS, THORAX, OR RESPIRATION: CHRONIC PULMONARY EDEMA|Federation Proceedings, Federation of American Societies for Experimental Biology. Vol. 6, Pg. 342, 1947.
111-46-6|Diethylene glycol|mouse|LD50|oral|23700mg/kg (23700mg/kg)|BEHAVIORAL: MUSCLE WEAKNESSBEHAVIORAL: GENERAL ANESTHETICLIVER: OTHER CHANGES|Federation Proceedings, Federation of American Societies for Experimental Biology. Vol. 4, Pg. 142, 1945.
111-46-6|Diethylene glycol|mouse|LD50|unreported|13300mg/kg (13300mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: EXCITEMENTGASTROINTESTINAL: NAUSEA OR VOMITING|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 33(3), Pg. 16, 1968.
111-46-6|Diethylene glycol|mouse|LDLo|subcutaneous|5gm/kg (5000mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 42, Pg. 355, 1931.
111-46-6|Diethylene glycol|rabbit|LD50|oral|4400mg/kg (4400mg/kg)| |Journal of Industrial Hygiene and Toxicology.  Vol. 21, Pg. 173, 1939.
111-46-6|Diethylene glycol|rabbit|LD50|oral|4400mg/kg (4400mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: COMA|Journal of Industrial Hygiene and Toxicology.  Vol. 21, Pg. 173, 1939.
111-46-6|Diethylene glycol|rabbit|LD50|skin|11890mg/kg (11890mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 25, 1974.
111-46-6|Diethylene glycol|rabbit|LD50|unreported|2688mg/kg (2688mg/kg)|BEHAVIORAL: EXCITEMENTGASTROINTESTINAL: NAUSEA OR VOMITINGBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 33(3), Pg. 16, 1968.
111-46-6|Diethylene glycol|rabbit|LDLo|intramuscular|4472mg/kg (4472mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 59, Pg. 93, 1937.
111-46-6|Diethylene glycol|rabbit|LDLo|intravenous|2236mg/kg (2236mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 59, Pg. 93, 1937.
111-46-6|Diethylene glycol|rat|LD50|intraperitoneal|7700mg/kg (7700mg/kg)| |"Patty's Industrial Hygiene and Toxicology," 3rd rev. ed., Clayton, G.D., and F.E. Clayton, eds., New York, John Wiley & Sons, Inc., 1978-82.  Vol. 3 originally pub. in 1979; pub. as 2n rev. ed. in 1985.Vol. 2C, Pg. 3836, 1982.
111-46-6|Diethylene glycol|rat|LD50|intravenous|6565mg/kg (6565mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 25, 1974.
111-46-6|Diethylene glycol|rat|LD50|oral|12565mg/kg (12565mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 25, 1974.
111-46-6|Diethylene glycol|rat|LD50|subcutaneous|18800mg/kg (18800mg/kg)| |"Patty's Industrial Hygiene and Toxicology," 3rd rev. ed., Clayton, G.D., and F.E. Clayton, eds., New York, John Wiley & Sons, Inc., 1978-82.  Vol. 3 originally pub. in 1979; pub. as 2n rev. ed. in 1985.Vol. 2C, Pg. 3836, 1982.
111-46-6|Diethylene glycol|rat|LD50|unreported|15650mg/kg (15650mg/kg)|BEHAVIORAL: EXCITEMENTBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)GASTROINTESTINAL: NAUSEA OR VOMITING|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 33(3), Pg. 16, 1968.
111-46-6|Diethylene glycol|rat|LDLo|intramuscular|7826mg/kg (7826mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 59, Pg. 93, 1937.
111-76-2|Ethylene glycol mono-n-butyl ether|guinea pig|LC|inhalation|> 633ppm/1H (633ppm)| |National Technical Information Service.  Vol. OTS0572613, 
111-76-2|Ethylene glycol mono-n-butyl ether|guinea pig|LD50|oral|1200mg/kg (1200mg/kg)|GASTROINTESTINAL: OTHER CHANGESBEHAVIORAL: GENERAL ANESTHETICKIDNEY, URETER, AND BLADDER: OTHER CHANGES |Journal of Industrial Hygiene and Toxicology.  Vol. 23, Pg. 259, 1941.
111-76-2|Ethylene glycol mono-n-butyl ether|guinea pig|LD50|skin|230uL/kg (0.23mL/kg)| |Toxicology and Applied Pharmacology.  Vol. 7, Pg. 559, 1965.
111-76-2|Ethylene glycol mono-n-butyl ether|human|TCLo|inhalation|100ppm (100ppm)|SENSE ORGANS AND SPECIAL SENSES: OTHER CHANGES: OLFACTIONLUNGS, THORAX, OR RESPIRATION: OTHER CHANGESSENSE ORGANS AND SPECIAL SENSES: OTHER: EYE|Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 50, 1974.
111-76-2|Ethylene glycol mono-n-butyl ether|human|TCLo|inhalation|195ppm/8H (195ppm)|GASTROINTESTINAL: NAUSEA OR VOMITING|AMA Archives of Industrial Health.  Vol. 14, Pg. 114, 1956.
111-76-2|Ethylene glycol mono-n-butyl ether|mammal (species unspecified)|LD50|unreported|1500mg/kg (1500mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 51(5), Pg. 61, 1986.
111-76-2|Ethylene glycol mono-n-butyl ether|mouse|LC50|inhalation|700ppm/7H (700ppm)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: ANALGESIAKIDNEY, URETER, AND BLADDER: HEMATURIA|Journal of Industrial Hygiene and Toxicology.  Vol. 25, Pg. 157, 1943.
111-76-2|Ethylene glycol mono-n-butyl ether|mouse|LD50|intraperitoneal|536mg/kg (536mg/kg)| |Shell Chemical Company.  Unpublished Report.  Vol. -, Pg. 2, 1961.
111-76-2|Ethylene glycol mono-n-butyl ether|mouse|LD50|intravenous|1130mg/kg (1130mg/kg)| |AMA Archives of Industrial Health.  Vol. 14, Pg. 114, 1956.
111-76-2|Ethylene glycol mono-n-butyl ether|mouse|LD50|oral|1230mg/kg (1230mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)SKIN AND APPENDAGES (SKIN): HAIR: OTHERBEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|AMA Archives of Industrial Health.  Vol. 14, Pg. 114, 1956.
111-76-2|Ethylene glycol mono-n-butyl ether|mouse|LD50|unreported|1050mg/kg (1050mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: EXCITEMENT|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 41(11), Pg. 7, 1976.
111-76-2|Ethylene glycol mono-n-butyl ether|mouse|LDLo|subcutaneous|500mg/kg (500mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 42, Pg. 355, 1931.
111-76-2|Ethylene glycol mono-n-butyl ether|rabbit|LD50|intraperitoneal|220mg/kg (220mg/kg)| |"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure," Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982Vol. -, Pg. 67, 1982.
111-76-2|Ethylene glycol mono-n-butyl ether|rabbit|LD50|intravenous|252mg/kg (252mg/kg)| |AMA Archives of Industrial Health.  Vol. 14, Pg. 114, 1956.
111-76-2|Ethylene glycol mono-n-butyl ether|rabbit|LD50|oral|300mg/kg (300mg/kg)| |Yakkyoku.  Pharmacy.  Vol. 32, Pg. 1241, 1981.
